,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
0,1,1,main,205,205,509.11616,509.11,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3241768,"POLYGON ((121.545784715 15.795827015, 121.54995138 15.795827015, 121.54995138 15.79166035, 121.545784715 15.79166035, 121.545784715 15.795827015))"
1,2,1,main,205,205,417.34969,417.34,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3244279,"POLYGON ((121.53328472 15.79166035, 121.537451385 15.79166035, 121.537451385 15.787493685000001, 121.53328472 15.787493685000001, 121.53328472 15.79166035))"
2,3,1,main,205,205,610.25258,610.26,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3244282,"POLYGON ((121.545784715 15.79166035, 121.54995138 15.79166035, 121.54995138 15.787493685000001, 121.545784715 15.787493685000001, 121.545784715 15.79166035))"
3,4,1,main,205,205,312.39684,312.41,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3246793,"POLYGON ((121.53328472 15.787493685000001, 121.537451385 15.787493685000001, 121.537451385 15.783327020000002, 121.53328472 15.783327020000002, 121.53328472 15.787493685000001))"
4,5,1,main,205,205,607.39745,607.39,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3246796,"POLYGON ((121.545784715 15.787493685000001, 121.54995138 15.787493685000001, 121.54995138 15.783327020000002, 121.545784715 15.783327020000002, 121.545784715 15.787493685000001))"
5,6,1,main,205,205,283.94071,283.955,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3249306,"POLYGON ((121.529118055 15.783327020000002, 121.53328472 15.783327020000002, 121.53328472 15.779160355000002, 121.529118055 15.779160355000002, 121.529118055 15.783327020000002))"
6,7,1,main,205,205,319.01213,319.025,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3249311,"POLYGON ((121.54995138 15.783327020000002, 121.554118045 15.783327020000002, 121.554118045 15.779160355000002, 121.54995138 15.779160355000002, 121.54995138 15.783327020000002))"
7,8,1,main,205,205,274.96196,274.96,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251820,"POLYGON ((121.529118055 15.779160355000002, 121.53328472 15.779160355000002, 121.53328472 15.77499369, 121.529118055 15.77499369, 121.529118055 15.779160355000002))"
8,9,1,main,205,205,482.99391,483,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251825,"POLYGON ((121.54995138 15.779160355000002, 121.554118045 15.779160355000002, 121.554118045 15.77499369, 121.54995138 15.77499369, 121.54995138 15.779160355000002))"
9,10,1,main,205,205,305.28883,305.305,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3254332,"POLYGON ((121.520784725 15.77499369, 121.52495139 15.77499369, 121.52495139 15.770827025, 121.520784725 15.770827025, 121.520784725 15.77499369))"
